Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn
2024-01-02,83720.0,83910.0,84671.0,83720.0,5700,-0.23,NCT,-0.2264330830651889,84195.5,951.0,-0.0022668983041800317
2024-01-03,83815.0,83720.0,83815.0,83720.0,2000,0.11,NCT,0.11347348303870043,83767.5,95.0,0.0011340915054436351
2024-01-04,84576.0,84576.0,84576.0,83720.0,7200,0.91,NCT,0.0,84148.0,856.0,0.0
2024-01-05,84386.0,84576.0,84576.0,84386.0,2100,-0.22,NCT,-0.22465001891789632,84481.0,190.0,-0.002249027356292288
2024-01-08,84291.0,84386.0,84386.0,84291.0,1300,-0.11,NCT,-0.1125779157680184,84338.5,95.0,-0.0011264133230355355
2024-01-09,84005.0,84100.0,84196.0,84005.0,2500,-0.34,NCT,-0.11296076099881094,84100.5,191.0,-0.0011302460975368689
2024-01-10,84196.0,84291.0,84291.0,83720.0,4900,0.23,NCT,-0.11270479647886489,84005.5,571.0,-0.0011276835609557168
2024-01-11,84196.0,85527.0,85527.0,84196.0,17000,0.0,NCT,-1.556233703976522,84861.5,1331.0,-0.015684701383802846
2024-01-12,83815.0,84386.0,84386.0,83720.0,1400,-0.45,NCT,-0.6766525253004052,84053.0,666.0,-0.006789521982344837
2024-01-15,84005.0,84005.0,84671.0,83910.0,1600,0.23,NCT,0.0,84290.5,761.0,0.0
2024-01-16,84005.0,84005.0,84386.0,84005.0,3800,0.0,NCT,0.0,84195.5,381.0,0.0
2024-01-17,84196.0,84005.0,84576.0,83720.0,7000,0.23,NCT,0.22736741860603535,84148.0,856.0,0.0022710933002301203
2024-01-18,84196.0,84100.0,84576.0,84100.0,11300,0.0,NCT,0.11414982164090369,84338.0,476.0,0.0011408472026932515
2024-01-19,84196.0,84386.0,84386.0,83910.0,12600,0.0,NCT,-0.2251558315360368,84148.0,476.0,-0.0022540968839912523
2024-01-22,84386.0,84291.0,84386.0,84196.0,12600,0.23,NCT,0.11270479647886489,84291.0,190.0,0.0011264133230355355
2024-01-23,84386.0,84291.0,84481.0,84291.0,8100,0.0,NCT,0.11270479647886489,84386.0,190.0,0.0011264133230355355
2024-01-24,84386.0,84481.0,84576.0,84386.0,16500,0.0,NCT,-0.11245132041524131,84481.0,190.0,-0.0011251459435186462
2024-01-25,85242.0,85527.0,85527.0,85242.0,13000,1.01,NCT,-0.33322810340594194,85384.5,285.0,-0.0033378454474028985
2024-01-26,84671.0,85242.0,85623.0,84671.0,2300,-0.67,NCT,-0.6698575819431735,85147.0,952.0,-0.006721111974913541
2024-01-29,85432.0,84481.0,85623.0,84386.0,2300,0.9,NCT,1.125696902262047,85004.5,1237.0,0.011194080860139621
2024-01-30,84957.0,84196.0,84957.0,84196.0,3300,-0.56,NCT,0.9038434129887406,84576.5,761.0,0.008997831954131286
