Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn
2024-01-02,63323.0,64227.0,64227.0,61694.0,114600,-2.64,SCS,-1.4075077459635357,62960.5,2533.0,-0.014175070746752283
2024-01-03,64254.0,62578.0,64254.0,62578.0,20800,1.47,SCS,2.678257534596823,63416.0,1676.0,0.026430200009119886
2024-01-04,62950.0,64254.0,64254.0,62857.0,22500,-2.03,SCS,-2.029445637625673,63555.5,1397.0,-0.02050321815643663
2024-01-05,62671.0,63323.0,63416.0,62578.0,27000,-0.44,SCS,-1.029641678379104,62997.0,838.0,-0.010349791578610379
2024-01-08,62019.0,62578.0,62578.0,61460.0,16000,-1.04,SCS,-0.893285180095241,62019.0,1118.0,-0.008972988926382541
2024-01-09,62112.0,62205.0,62205.0,61926.0,14800,0.15,SCS,-0.14950566674704607,62065.5,279.0,-0.001496175379855913
2024-01-10,61646.0,62112.0,62205.0,61460.0,14700,-0.75,SCS,-0.7502575991756826,61832.5,745.0,-0.007530861881848594
2024-01-11,61646.0,61646.0,62205.0,61553.0,17100,0.0,SCS,0.0,61879.0,652.0,0.0
2024-01-12,61181.0,61646.0,61646.0,61088.0,28700,-0.76,SCS,-0.7543068487817539,61367.0,558.0,-0.007571661304721644
2024-01-15,61274.0,61367.0,61460.0,61088.0,9600,0.15,SCS,-0.15154724852119217,61274.0,372.0,-0.0015166219751314713
2024-01-16,61553.0,61646.0,61646.0,60995.0,43300,0.46,SCS,-0.15086136975635078,61320.5,651.0,-0.0015097528009970773
2024-01-17,61460.0,61460.0,61553.0,61367.0,43800,-0.15,SCS,0.0,61460.0,186.0,0.0
2024-01-18,61460.0,61460.0,61926.0,61460.0,17800,0.0,SCS,0.0,61693.0,466.0,0.0
2024-01-19,61740.0,61460.0,62205.0,61460.0,31300,0.45,SCS,0.45558086560364464,61832.5,745.0,0.004545462371675413
2024-01-22,60343.0,61460.0,61460.0,60063.0,87700,-2.26,SCS,-1.8174422388545397,60761.5,1397.0,-0.018341605944160122
2024-01-23,60157.0,60343.0,60343.0,60063.0,32900,-0.31,SCS,-0.3082379066337438,60203.0,280.0,-0.0030871393812716974
2024-01-24,59970.0,60250.0,60250.0,59691.0,36300,-0.31,SCS,-0.46473029045643155,59970.5,559.0,-0.004658135190345192
