Year,Month,AST,HVN,NCT,SCS,VJC,VTR
2024,1,42182,589882,6827,51600,676418,47371
2024,2,50656,565988,3244,91794,643581,34739
2024,3,22329,986681,12952,155838,640576,60910
2024,4,24137,2903158,10716,154242,932837,80128
2024,5,46105,5267273,8591,194414,1013905,69553
2024,6,32635,5058000,12690,217185,972190,61899
2024,7,15565,5435152,13448,188187,828061,43641
2024,8,11041,3550454,12127,107968,641564,28792
2024,9,13658,1316921,17068,86711,771789,21951
2024,10,6600,1234013,7330,279948,877604,13610
2024,11,5310,3018095,4529,300614,679010,10164
2024,12,9159,2698636,3836,331609,711036,32787
2025,1,6547,1427182,4038,300206,556700,10275
2025,2,24050,1742000,14740,444280,522015,39689
2025,3,14014,1921124,4938,270633,606767,45740
2025,4,42710,3786405,14520,489940,724435,34631
2025,5,33445,3224000,17245,350440,692675,37492
2025,6,29176,2593333,9810,463938,780729,31224
2025,7,18796,2243526,11530,500143,1802217,118909
2025,8,31595,1454543,11086,446743,2620000,101190
2025,9,8861,2385822,10783,225983,2055000,36944
