"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/09/2025","71,800.0","70,600.0","71,800.0","70,400.0","2.90K","1.27%"
"25/09/2025","70,900.0","70,500.0","71,100.0","70,000.0","13.10K","1.29%"
"24/09/2025","70,000.0","69,900.0","70,500.0","69,600.0","6.00K","0.00%"
"23/09/2025","70,000.0","70,700.0","70,700.0","69,100.0","6.30K","-0.99%"
"22/09/2025","70,700.0","70,000.0","70,800.0","68,800.0","12.70K","0.71%"
"19/09/2025","70,200.0","71,900.0","71,900.0","70,200.0","2.20K","-1.13%"
"18/09/2025","71,000.0","72,000.0","72,000.0","71,000.0","2.70K","-1.39%"
"17/09/2025","72,000.0","71,200.0","72,000.0","71,200.0","1.90K","1.12%"
"16/09/2025","71,200.0","73,000.0","73,000.0","71,200.0","1.80K","-2.47%"
"15/09/2025","73,000.0","69,900.0","73,000.0","69,900.0","22.40K","2.96%"
"12/09/2025","70,900.0","69,000.0","71,000.0","68,800.0","18.20K","2.75%"
"11/09/2025","69,000.0","68,900.0","69,000.0","67,100.0","10.00K","0.15%"
"10/09/2025","68,900.0","68,000.0","69,000.0","68,000.0","8.40K","-0.29%"
"09/09/2025","69,100.0","69,400.0","69,400.0","69,100.0","0.30K","0.88%"
"08/09/2025","68,500.0","69,100.0","69,300.0","68,500.0","11.60K","-1.15%"
"05/09/2025","69,300.0","69,500.0","70,000.0","69,200.0","7.80K","0.43%"
"04/09/2025","69,000.0","69,900.0","69,900.0","68,600.0","9.80K","-1.43%"
"03/09/2025","70,000.0","70,000.0","70,000.0","69,000.0","21.40K","0.00%"
"29/08/2025","70,000.0","71,400.0","71,400.0","69,500.0","5.70K","-1.96%"
"28/08/2025","71,400.0","72,000.0","72,000.0","71,000.0","3.80K","-0.14%"
"27/08/2025","71,500.0","69,500.0","72,000.0","69,000.0","35.80K","2.88%"
"26/08/2025","69,500.0","68,100.0","69,500.0","68,000.0","15.90K","1.46%"
"25/08/2025","68,500.0","69,500.0","69,500.0","68,000.0","27.10K","0.74%"
"22/08/2025","68,000.0","66,300.0","68,800.0","66,300.0","35.70K","-1.16%"
"21/08/2025","68,800.0","67,900.0","70,000.0","67,900.0","24.00K","2.84%"
"20/08/2025","66,900.0","67,600.0","67,600.0","65,500.0","33.20K","-1.04%"
"19/08/2025","67,600.0","67,000.0","68,700.0","67,000.0","14.70K","-0.88%"
"18/08/2025","68,200.0","67,100.0","69,000.0","67,100.0","14.00K","0.15%"
"15/08/2025","68,100.0","68,600.0","69,900.0","67,200.0","21.20K","-1.73%"
"14/08/2025","69,300.0","67,300.0","69,400.0","67,300.0","12.70K","2.67%"
"13/08/2025","67,500.0","70,500.0","70,500.0","67,500.0","25.80K","-2.60%"
"12/08/2025","69,300.0","68,100.0","69,500.0","68,100.0","39.90K","0.73%"
"11/08/2025","68,800.0","67,600.0","69,900.0","67,000.0","56.30K","1.78%"
"08/08/2025","67,600.0","67,400.0","69,000.0","67,400.0","24.50K","-2.73%"
"07/08/2025","69,500.0","69,700.0","69,700.0","67,400.0","39.30K","2.21%"
"06/08/2025","68,000.0","69,000.0","71,000.0","67,700.0","26.60K","-1.73%"
"05/08/2025","69,200.0","70,000.0","72,800.0","69,000.0","113.20K","-1.00%"
"04/08/2025","69,900.0","64,200.0","69,900.0","64,200.0","71.40K","6.88%"
"01/08/2025","65,400.0","67,900.0","67,900.0","65,000.0","22.70K","-0.15%"
"31/07/2025","65,500.0","66,800.0","66,800.0","65,000.0","34.90K","-0.91%"
"30/07/2025","66,100.0","64,100.0","66,400.0","64,100.0","70.50K","3.44%"
"29/07/2025","63,900.0","65,100.0","65,100.0","63,000.0","11.10K","-1.69%"
"28/07/2025","65,000.0","64,300.0","65,400.0","63,500.0","44.50K","1.88%"
"25/07/2025","63,800.0","63,400.0","64,000.0","63,400.0","11.40K","0.63%"
"24/07/2025","63,400.0","63,800.0","63,800.0","63,000.0","37.00K","-0.94%"
"23/07/2025","64,000.0","64,800.0","64,800.0","63,500.0","12.20K","-0.31%"
"22/07/2025","64,200.0","63,400.0","64,200.0","63,300.0","5.30K","0.63%"
"21/07/2025","63,800.0","64,500.0","64,500.0","63,200.0","17.90K","0.00%"
"18/07/2025","63,800.0","63,800.0","63,800.0","63,500.0","7.70K","0.00%"
"17/07/2025","63,800.0","64,300.0","64,500.0","63,500.0","12.70K","-0.78%"
"16/07/2025","64,300.0","64,200.0","64,400.0","63,500.0","18.30K","0.16%"
"15/07/2025","64,200.0","65,200.0","66,900.0","64,200.0","27.90K","-1.53%"
"14/07/2025","65,200.0","65,000.0","65,500.0","64,800.0","12.40K","-1.06%"
"11/07/2025","65,900.0","66,000.0","66,000.0","65,200.0","2.50K","-0.15%"
"10/07/2025","66,000.0","66,800.0","66,800.0","65,200.0","4.90K","0.76%"
"09/07/2025","65,500.0","66,100.0","66,100.0","65,100.0","16.70K","-0.61%"
"08/07/2025","65,900.0","65,800.0","66,100.0","65,200.0","21.50K","0.15%"
"07/07/2025","65,800.0","66,800.0","66,800.0","65,500.0","8.70K","-0.90%"
"04/07/2025","66,400.0","65,500.0","66,900.0","65,500.0","3.40K","0.61%"
"03/07/2025","66,000.0","68,300.0","68,300.0","64,800.0","17.30K","-0.75%"
"02/07/2025","66,500.0","66,700.0","66,900.0","66,100.0","15.00K","0.76%"
"01/07/2025","66,000.0","66,000.0","66,000.0","65,700.0","18.50K","0.00%"
"30/06/2025","66,000.0","64,600.0","66,500.0","64,600.0","27.50K","2.17%"
"27/06/2025","64,600.0","65,800.0","65,800.0","64,300.0","8.50K","-0.62%"
"26/06/2025","65,000.0","64,900.0","65,600.0","64,700.0","29.30K","1.56%"
"25/06/2025","64,000.0","64,400.0","64,500.0","63,300.0","10.50K","1.27%"
"24/06/2025","63,200.0","63,700.0","64,800.0","63,200.0","13.60K","-1.25%"
"23/06/2025","64,000.0","63,700.0","64,700.0","63,700.0","16.00K","0.47%"
"20/06/2025","63,700.0","63,600.0","65,000.0","63,500.0","45.00K","-1.55%"
"19/06/2025","64,700.0","65,000.0","65,000.0","63,700.0","4.80K","-1.22%"
"18/06/2025","65,500.0","65,200.0","65,900.0","64,600.0","17.40K","0.46%"
"17/06/2025","65,200.0","64,000.0","66,000.0","63,000.0","76.00K","1.24%"
"16/06/2025","64,400.0","64,400.0","66,900.0","63,500.0","11.10K","0.00%"
"13/06/2025","64,400.0","65,000.0","65,000.0","63,500.0","22.20K","-0.92%"
"12/06/2025","65,000.0","64,000.0","66,500.0","64,000.0","144.00K","1.72%"
"11/06/2025","63,900.0","62,600.0","63,900.0","62,600.0","36.20K","2.24%"
"10/06/2025","62,500.0","63,600.0","63,600.0","62,100.0","10.10K","-1.73%"
"09/06/2025","63,600.0","61,400.0","63,800.0","61,200.0","21.60K","3.75%"
"06/06/2025","61,300.0","63,700.0","63,700.0","61,300.0","2.00K","-1.92%"
"05/06/2025","62,500.0","62,500.0","62,500.0","61,400.0","20.50K","0.00%"
"04/06/2025","62,500.0","63,800.0","63,800.0","62,100.0","21.20K","-2.04%"
"03/06/2025","63,800.0","63,600.0","64,000.0","63,000.0","19.50K","0.00%"
"02/06/2025","63,800.0","59,600.0","63,800.0","59,600.0","55.70K","6.51%"
"30/05/2025","59,900.0","59,500.0","60,000.0","59,500.0","19.20K","0.67%"
