"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/09/2025","36,500.0","37,050.0","37,050.0","36,500.0","903.30K","-2.41%"
"25/09/2025","37,400.0","37,450.0","37,950.0","37,400.0","607.00K","-2.09%"
"24/09/2025","38,200.0","37,900.0","38,200.0","36,600.0","1.95M","0.53%"
"23/09/2025","38,000.0","38,300.0","38,300.0","36,600.0","1.58M","1.33%"
"22/09/2025","37,500.0","36,000.0","37,500.0","36,000.0","3.50M","4.75%"
"19/09/2025","35,800.0","38,050.0","38,050.0","35,800.0","5.58M","-5.54%"
"18/09/2025","37,900.0","37,800.0","38,000.0","37,450.0","2.45M","1.20%"
"17/09/2025","37,450.0","38,200.0","38,200.0","37,000.0","2.05M","-2.09%"
"16/09/2025","38,250.0","38,000.0","38,450.0","37,500.0","6.83M","5.37%"
"15/09/2025","36,300.0","35,000.0","36,300.0","35,000.0","3.66M","6.92%"
"12/09/2025","33,950.0","33,200.0","33,950.0","32,800.0","4.13M","3.19%"
"11/09/2025","32,900.0","32,050.0","32,950.0","31,800.0","2.86M","2.81%"
"10/09/2025","32,000.0","32,000.0","32,400.0","31,500.0","1.74M","1.59%"
"09/09/2025","31,500.0","30,700.0","31,500.0","30,700.0","877.60K","2.27%"
"08/09/2025","30,800.0","30,800.0","31,000.0","30,650.0","1.21M","-0.48%"
"05/09/2025","30,950.0","31,000.0","31,050.0","30,800.0","1.15M","-0.32%"
"04/09/2025","31,050.0","31,050.0","31,100.0","30,750.0","1.09M","0.16%"
"03/09/2025","31,000.0","31,000.0","31,000.0","30,800.0","776.90K","0.00%"
"29/08/2025","31,000.0","31,250.0","31,250.0","30,800.0","1.01M","-0.96%"
"28/08/2025","31,300.0","32,250.0","32,250.0","31,000.0","1.47M","1.29%"
"27/08/2025","30,900.0","31,000.0","31,000.0","30,600.0","832.00K","0.82%"
"26/08/2025","30,650.0","30,300.0","30,900.0","30,300.0","535.00K","0.82%"
"25/08/2025","30,400.0","31,050.0","31,250.0","30,300.0","1.00M","-1.46%"
"22/08/2025","30,850.0","32,000.0","32,000.0","30,550.0","1.23M","-3.74%"
"21/08/2025","32,050.0","33,000.0","33,000.0","32,000.0","1.39M","-1.38%"
"20/08/2025","32,500.0","33,700.0","33,700.0","31,850.0","3.28M","2.52%"
"19/08/2025","31,700.0","29,800.0","31,700.0","29,800.0","1.05M","6.91%"
"18/08/2025","29,650.0","30,400.0","30,400.0","29,600.0","2.88M","-2.79%"
"15/08/2025","30,500.0","31,550.0","31,550.0","30,500.0","2.22M","-3.33%"
"14/08/2025","31,550.0","31,800.0","31,800.0","31,500.0","1.47M","-0.63%"
"13/08/2025","31,750.0","32,300.0","32,300.0","31,700.0","2.00M","-2.01%"
"12/08/2025","32,400.0","32,650.0","32,650.0","32,350.0","1.40M","-0.77%"
"11/08/2025","32,650.0","32,700.0","32,700.0","32,550.0","1.21M","-0.31%"
"08/08/2025","32,750.0","32,750.0","32,900.0","32,600.0","1.71M","0.00%"
"07/08/2025","32,750.0","32,900.0","33,000.0","32,700.0","1.30M","-0.30%"
"06/08/2025","32,850.0","33,000.0","33,000.0","32,800.0","969.90K","-0.45%"
"05/08/2025","33,000.0","32,900.0","33,500.0","32,900.0","1.71M","0.46%"
"04/08/2025","32,850.0","32,800.0","32,900.0","32,800.0","905.40K","1.08%"
"01/08/2025","32,500.0","32,950.0","32,950.0","32,500.0","973.10K","-0.91%"
"31/07/2025","32,800.0","33,500.0","33,600.0","32,550.0","1.63M","-0.91%"
"30/07/2025","33,100.0","32,500.0","33,100.0","32,050.0","1.67M","3.44%"
"29/07/2025","32,000.0","33,550.0","33,550.0","32,000.0","2.66M","-4.48%"
"28/07/2025","33,500.0","34,100.0","34,100.0","33,100.0","2.44M","-0.15%"
"25/07/2025","33,550.0","32,900.0","33,700.0","32,900.0","1.38M","1.05%"
"24/07/2025","33,200.0","34,450.0","34,450.0","33,200.0","1.11M","-2.35%"
"23/07/2025","34,000.0","33,400.0","34,950.0","33,400.0","3.06M","2.72%"
"22/07/2025","33,100.0","33,700.0","33,700.0","32,500.0","3.87M","4.75%"
"21/07/2025","31,600.0","31,600.0","31,600.0","31,600.0","761.10K","6.93%"
"18/07/2025","29,553.0","29,828.9","29,868.3","29,474.2","4.06M","0.13%"
"17/07/2025","29,513.6","29,789.5","29,789.5","29,513.6","3.52M","-0.66%"
"16/07/2025","29,710.7","29,947.1","29,947.1","29,710.7","1.64M","0.27%"
"15/07/2025","29,631.8","29,631.8","29,947.1","29,592.4","3.02M","0.80%"
