"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/09/2025","105,400.0","105,600.0","107,000.0","105,400.0","5.70K","0.38%"
"25/09/2025","105,000.0","105,000.0","105,100.0","105,000.0","2.40K","0.00%"
"24/09/2025","105,000.0","105,900.0","105,900.0","104,900.0","3.20K","0.00%"
"23/09/2025","105,000.0","104,800.0","105,000.0","104,800.0","3.30K","0.19%"
"22/09/2025","104,800.0","104,000.0","104,800.0","104,000.0","16.70K","-0.10%"
"19/09/2025","104,900.0","105,900.0","105,900.0","104,900.0","9.50K","-0.47%"
"18/09/2025","105,400.0","105,600.0","105,600.0","105,300.0","11.80K","-0.09%"
"17/09/2025","105,500.0","106,000.0","106,000.0","105,500.0","10.50K","-0.38%"
"16/09/2025","105,900.0","106,000.0","106,500.0","105,700.0","13.00K","0.00%"
"15/09/2025","105,900.0","106,900.0","106,900.0","105,500.0","7.30K","0.86%"
"12/09/2025","105,000.0","105,000.0","106,500.0","105,000.0","21.20K","0.10%"
"11/09/2025","104,900.0","105,200.0","105,200.0","103,900.0","16.00K","-1.04%"
"10/09/2025","106,000.0","106,400.0","106,400.0","106,000.0","11.50K","-0.28%"
"09/09/2025","106,300.0","106,300.0","106,500.0","106,300.0","3.50K","0.00%"
"08/09/2025","106,300.0","106,600.0","107,000.0","106,100.0","10.00K","-0.56%"
"05/09/2025","106,900.0","107,000.0","107,200.0","106,900.0","11.90K","-0.09%"
"04/09/2025","107,000.0","107,100.0","107,500.0","106,700.0","24.60K","0.00%"
"03/09/2025","107,000.0","107,500.0","108,000.0","107,000.0","12.00K","-0.47%"
"29/08/2025","107,500.0","107,900.0","107,900.0","107,500.0","1.90K","-0.37%"
"28/08/2025","107,900.0","109,400.0","109,400.0","106,700.0","14.70K","1.31%"
"27/08/2025","106,500.0","107,700.0","108,000.0","106,300.0","26.30K","-0.37%"
"26/08/2025","106,900.0","107,200.0","107,300.0","106,800.0","27.60K","-0.65%"
"25/08/2025","107,600.0","109,000.0","109,200.0","107,600.0","5.40K","-0.83%"
"22/08/2025","108,500.0","109,500.0","109,500.0","107,500.0","24.50K","-0.91%"
"21/08/2025","109,500.0","110,500.0","110,500.0","109,500.0","7.50K","-0.64%"
"20/08/2025","110,200.0","110,500.0","110,500.0","109,500.0","12.70K","-0.09%"
"19/08/2025","110,300.0","110,400.0","110,600.0","110,100.0","16.00K","-0.18%"
"18/08/2025","110,500.0","110,000.0","110,600.0","109,800.0","13.50K","-0.18%"
"15/08/2025","110,700.0","110,800.0","110,800.0","110,000.0","3.10K","-0.27%"
"14/08/2025","111,000.0","110,200.0","111,000.0","110,200.0","8.50K","0.45%"
"13/08/2025","110,500.0","110,100.0","110,600.0","110,100.0","8.50K","0.36%"
"12/08/2025","110,100.0","110,000.0","110,200.0","109,100.0","13.10K","0.55%"
"11/08/2025","109,500.0","109,300.0","110,500.0","109,100.0","11.40K","0.18%"
"08/08/2025","109,300.0","109,100.0","109,500.0","109,100.0","5.30K","-0.09%"
"07/08/2025","109,400.0","109,200.0","109,700.0","109,000.0","5.80K","-0.09%"
"06/08/2025","109,500.0","109,200.0","109,500.0","108,900.0","9.50K","0.37%"
"05/08/2025","109,100.0","109,500.0","109,600.0","109,100.0","4.80K","0.00%"
"04/08/2025","109,100.0","109,000.0","109,600.0","109,000.0","6.60K","0.00%"
"01/08/2025","109,100.0","109,000.0","109,600.0","109,000.0","6.10K","0.09%"
"31/07/2025","109,000.0","108,800.0","110,100.0","108,800.0","6.10K","0.00%"
"30/07/2025","109,000.0","108,900.0","109,000.0","108,300.0","7.90K","0.74%"
"29/07/2025","108,200.0","110,800.0","110,800.0","108,200.0","19.70K","-2.26%"
"28/07/2025","110,700.0","111,000.0","111,000.0","110,700.0","9.00K","-0.09%"
"25/07/2025","110,800.0","111,000.0","111,000.0","110,400.0","3.20K","-0.09%"
"24/07/2025","110,900.0","110,900.0","111,000.0","110,000.0","15.70K","0.00%"
"23/07/2025","110,900.0","111,200.0","111,800.0","110,600.0","12.00K","0.45%"
"22/07/2025","110,400.0","110,000.0","110,500.0","109,500.0","7.80K","0.00%"
