"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/09/2025","59,700","60,100","60,100","59,700","64.90K","0.00%"
"25/09/2025","59,700","59,700","60,000","59,700","125.90K","0.00%"
"24/09/2025","59,700","59,800","59,800","59,200","167.60K","0.34%"
"23/09/2025","59,500","59,500","59,900","59,300","101.70K","0.17%"
"22/09/2025","59,400","60,800","60,800","59,400","247.70K","-1.82%"
"19/09/2025","60,500","60,800","61,000","60,500","144.50K","-0.49%"
"18/09/2025","60,800","61,400","61,400","60,700","154.40K","-0.98%"
"17/09/2025","61,400","61,400","61,800","61,000","326.60K","0.00%"
"16/09/2025","61,400","60,900","61,600","60,600","326.10K","0.82%"
"15/09/2025","60,900","60,200","61,200","60,200","280.20K","1.16%"
"12/09/2025","60,200","60,100","60,400","59,800","132.20K","0.67%"
"11/09/2025","59,800","60,000","60,000","58,800","224.70K","0.17%"
"10/09/2025","59,700","60,100","60,100","59,500","211.00K","-0.17%"
"09/09/2025","59,800","60,000","60,000","59,600","232.00K","-0.33%"
"08/09/2025","60,000","60,200","60,500","60,000","307.00K","-0.83%"
"05/09/2025","60,500","60,800","61,100","60,300","307.40K","-0.33%"
"04/09/2025","60,700","60,700","61,100","60,500","269.70K","0.00%"
"03/09/2025","60,700","61,500","61,500","60,500","444.10K","-1.62%"
"29/08/2025","61,700","62,900","62,900","61,400","365.70K","-1.12%"
"28/08/2025","62,400","62,018","62,591","61,827","364.70K","0.93%"
"27/08/2025","61,827","61,732","61,923","61,541","338.40K","0.47%"
"26/08/2025","61,541","61,446","61,637","61,064","287.70K","0.16%"
"25/08/2025","61,446","63,259","63,259","61,350","392.20K","-1.53%"
"22/08/2025","62,400","61,732","62,877","61,255","651.10K","-3.70%"
"21/08/2025","64,800","64,800","64,900","64,300","438.50K","1.25%"
"20/08/2025","64,000","64,700","65,000","63,000","468.40K","-0.47%"
"19/08/2025","64,300","63,500","64,500","63,100","551.70K","2.06%"
"18/08/2025","63,000","63,000","63,300","62,900","214.50K","0.16%"
"15/08/2025","62,900","62,900","63,100","62,700","411.10K","0.00%"
"14/08/2025","62,900","63,500","63,500","62,900","427.30K","-0.63%"
"13/08/2025","63,300","64,100","64,100","62,900","682.00K","-0.94%"
"12/08/2025","63,900","64,100","64,400","63,800","413.90K","-0.47%"
"11/08/2025","64,200","64,500","64,900","64,200","415.30K","-0.47%"
"08/08/2025","64,500","63,600","64,800","63,400","316.70K","1.42%"
"07/08/2025","63,600","64,000","64,000","63,500","352.60K","-0.16%"
"06/08/2025","63,700","63,200","63,800","62,800","291.40K","1.43%"
"05/08/2025","62,800","64,500","64,500","62,800","610.90K","-0.48%"
"04/08/2025","63,100","62,500","63,400","62,400","357.50K","1.12%"
"01/08/2025","62,400","64,200","64,200","62,400","1.03M","-2.65%"
"31/07/2025","64,100","65,700","65,900","64,100","497.50K","-1.99%"
"30/07/2025","65,400","65,000","65,700","64,400","460.50K","0.62%"
"29/07/2025","65,000","68,100","68,200","65,000","1.39M","-4.97%"
"28/07/2025","68,400","68,600","69,000","68,000","571.70K","-0.58%"
"25/07/2025","68,800","69,500","69,500","68,600","425.10K","-0.72%"
"24/07/2025","69,300","67,700","69,300","67,400","883.10K","2.82%"
"23/07/2025","67,400","67,400","68,000","67,100","412.80K","0.45%"
"22/07/2025","67,100","66,700","67,200","66,500","251.50K","0.60%"
"21/07/2025","66,700","67,000","67,600","66,700","422.90K","-0.45%"
"18/07/2025","67,000","66,500","67,200","66,500","376.50K","0.45%"
"17/07/2025","66,700","66,500","66,800","66,400","362.30K","0.30%"
"16/07/2025","66,500","67,000","67,000","66,400","449.60K","-0.60%"
"15/07/2025","66,900","66,600","67,800","66,600","374.20K","0.45%"
"14/07/2025","66,600","66,900","66,900","66,200","358.80K","-0.45%"
"11/07/2025","66,900","67,200","67,300","66,800","505.00K","-0.45%"
"10/07/2025","67,200","67,100","67,500","66,700","419.50K","0.60%"
"09/07/2025","66,800","67,200","67,600","66,600","619.80K","-0.30%"
"08/07/2025","67,000","66,800","67,200","66,500","451.00K","0.45%"
"07/07/2025","66,700","67,000","67,200","66,500","295.70K","0.15%"
"04/07/2025","66,600","66,400","66,800","66,400","227.30K","0.45%"
"03/07/2025","66,300","67,000","67,300","66,100","662.80K","-1.04%"
"02/07/2025","67,000","66,300","68,100","66,300","386.90K","1.52%"
"01/07/2025","66,000","67,200","67,400","65,900","698.80K","-1.79%"
"30/06/2025","67,200","68,500","68,600","67,000","609.50K","-1.90%"
"27/06/2025","68,500","67,700","69,400","67,400","709.60K","1.03%"
"26/06/2025","67,800","65,800","67,800","65,400","1.28M","4.15%"
"25/06/2025","65,100","64,200","65,900","64,200","626.40K","1.72%"
"24/06/2025","64,000","64,100","64,400","63,700","215.10K","0.31%"
"23/06/2025","63,800","63,200","64,000","63,200","236.70K","-1.39%"
"20/06/2025","64,700","63,600","65,700","63,300","509.30K","1.73%"
"19/06/2025","63,600","63,700","63,900","63,100","166.00K","0.00%"
"18/06/2025","63,600","63,500","64,100","63,500","185.00K","-0.31%"
"17/06/2025","63,800","64,500","65,000","63,700","343.90K","-0.62%"
"16/06/2025","64,200","63,000","64,200","62,800","330.60K","1.58%"
"13/06/2025","63,200","63,400","63,700","62,600","556.00K","-1.86%"
"12/06/2025","64,400","64,400","64,700","63,900","242.50K","0.16%"
"11/06/2025","64,300","65,600","65,700","64,000","342.10K","-1.08%"
"10/06/2025","65,000","62,600","65,000","62,600","951.90K","4.50%"
"09/06/2025","62,200","63,200","64,000","61,900","360.80K","0.32%"
"06/06/2025","62,000","62,800","62,900","62,000","311.20K","-1.59%"
"05/06/2025","63,000","63,500","63,500","62,500","256.30K","-0.47%"
"04/06/2025","63,300","63,800","63,800","63,000","272.50K","-0.78%"
"03/06/2025","63,800","64,900","65,200","63,800","724.30K","-0.31%"
"02/06/2025","64,000","61,600","64,000","61,100","513.00K","3.39%"
"30/05/2025","61,900","63,000","63,000","61,900","383.00K","-1.75%"
"29/05/2025","63,000","63,600","63,600","62,900","283.70K","-0.79%"
"28/05/2025","63,500","63,800","64,000","63,000","306.10K","0.63%"
"27/05/2025","63,100","62,200","63,800","62,200","467.60K","1.77%"
"26/05/2025","62,000","61,900","62,200","60,800","365.40K","0.81%"
"23/05/2025","61,500","61,400","62,000","61,400","162.90K","-0.16%"
