"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/09/2025","132,500","136,100","136,100","132,500","1.76M","-2.50%"
"25/09/2025","135,900","134,000","137,300","133,900","1.69M","1.65%"
"24/09/2025","133,700","133,000","134,000","130,400","1.53M","0.53%"
"23/09/2025","133,000","135,600","136,000","132,700","1.76M","-1.85%"
"22/09/2025","135,500","136,500","136,700","131,000","2.35M","-1.24%"
"19/09/2025","137,200","139,800","139,800","135,000","2.08M","-1.86%"
"18/09/2025","139,800","142,100","142,100","139,200","2.10M","-1.55%"
"17/09/2025","142,000","142,000","142,500","140,400","2.02M","0.00%"
"16/09/2025","142,000","145,700","147,100","142,000","2.24M","-2.47%"
"15/09/2025","145,600","146,500","146,500","143,500","2.24M","-0.27%"
"12/09/2025","146,000","145,600","148,500","144,500","2.32M","0.41%"
"11/09/2025","145,400","145,000","146,000","140,500","2.17M","0.35%"
"10/09/2025","144,900","145,500","145,600","141,800","1.97M","-0.07%"
"09/09/2025","145,000","142,000","146,600","141,900","2.38M","2.18%"
"08/09/2025","141,900","141,000","142,600","139,200","2.16M","-0.07%"
"05/09/2025","142,000","140,100","145,000","140,000","2.08M","1.43%"
"04/09/2025","140,000","142,200","142,200","139,500","2.01M","-1.41%"
"03/09/2025","142,000","144,000","144,000","140,000","2.13M","-1.73%"
"29/08/2025","144,500","145,600","146,200","142,900","2.06M","-0.34%"
"28/08/2025","145,000","144,500","148,200","144,000","1.97M","0.62%"
"27/08/2025","144,100","144,500","145,100","141,800","2.02M","0.07%"
"26/08/2025","144,000","143,000","144,500","141,200","2.02M","1.05%"
"25/08/2025","142,500","140,500","144,500","140,000","2.43M","1.79%"
"22/08/2025","140,000","140,500","145,000","138,000","2.40M","-3.98%"
"21/08/2025","145,800","143,700","146,000","140,100","2.76M","1.39%"
"20/08/2025","143,800","146,000","146,000","136,500","2.40M","-1.51%"
"19/08/2025","146,000","151,900","152,300","144,300","2.39M","2.53%"
"18/08/2025","142,400","145,600","145,600","140,000","2.04M","-2.20%"
"15/08/2025","145,600","143,100","145,800","133,900","3.44M","6.82%"
"14/08/2025","136,300","128,900","136,300","128,000","4.48M","6.99%"
"13/08/2025","127,400","127,500","127,500","123,100","3.06M","0.31%"
"12/08/2025","127,000","125,000","129,500","122,700","3.15M","2.42%"
"11/08/2025","124,000","125,000","125,000","121,500","2.04M","2.06%"
"08/08/2025","121,500","127,800","127,800","121,500","2.18M","-4.86%"
"07/08/2025","127,700","129,200","129,300","125,800","2.22M","-1.01%"
"06/08/2025","129,000","127,300","129,500","125,300","2.20M","1.34%"
"05/08/2025","127,300","129,000","131,900","120,000","3.99M","0.00%"
"04/08/2025","127,300","117,000","127,300","116,200","3.27M","6.97%"
"01/08/2025","119,000","121,200","121,200","117,000","2.50M","-1.82%"
"31/07/2025","121,200","120,700","122,500","115,000","2.77M","2.11%"
"30/07/2025","118,700","118,300","123,900","117,500","2.12M","0.34%"
"29/07/2025","118,300","127,900","127,900","118,200","3.09M","-6.85%"
"28/07/2025","127,000","124,300","129,700","124,000","2.34M","4.18%"
"25/07/2025","121,900","114,200","121,900","112,200","3.28M","6.93%"
"24/07/2025","114,000","116,400","116,400","109,400","2.89M","4.78%"
"23/07/2025","108,800","108,000","108,800","107,500","1.72M","6.98%"
"22/07/2025","101,700","95,500","101,700","95,500","2.92M","6.94%"
"21/07/2025","95,100","94,000","96,300","93,900","1.56M","1.93%"
"18/07/2025","93,300","95,500","96,200","93,000","2.61M","-1.06%"
"17/07/2025","94,300","96,000","97,800","94,300","1.71M","-1.77%"
"16/07/2025","96,000","97,000","97,500","95,500","1.55M","-1.54%"
"15/07/2025","97,500","100,000","100,100","97,500","1.11M","-1.52%"
"14/07/2025","99,000","100,400","100,900","98,200","1.13M","-1.00%"
"11/07/2025","100,000","96,000","100,000","95,700","2.01M","4.17%"
"10/07/2025","96,000","94,100","96,000","93,700","1.27M","2.13%"
"09/07/2025","94,000","95,000","95,200","94,000","1.07M","-1.05%"
"08/07/2025","95,000","90,000","95,000","89,500","2.14M","5.56%"
"07/07/2025","90,000","89,700","90,300","88,700","789.20K","0.22%"
"04/07/2025","89,800","89,100","90,000","88,500","793.80K","0.90%"
"03/07/2025","89,000","87,300","90,400","87,300","699.80K","-1.33%"
"02/07/2025","90,200","90,500","90,500","89,900","598.20K","-0.33%"
"01/07/2025","90,500","88,200","91,000","88,200","1.28M","2.72%"
"30/06/2025","88,100","87,500","88,800","87,500","602.40K","1.03%"
"27/06/2025","87,200","87,200","87,900","87,100","708.00K","0.11%"
"26/06/2025","87,100","87,200","87,800","87,100","525.90K","0.00%"
"25/06/2025","87,100","87,600","88,300","87,100","664.90K","-1.14%"
"24/06/2025","88,100","87,500","88,100","87,300","640.60K","0.69%"
"23/06/2025","87,500","87,900","87,900","86,900","672.80K","-1.35%"
"20/06/2025","88,700","88,800","88,800","87,700","697.60K","0.23%"
"19/06/2025","88,500","87,300","89,200","87,000","1.20M","0.91%"
"18/06/2025","87,700","87,700","88,100","87,400","662.40K","0.00%"
"17/06/2025","87,700","88,000","88,100","87,100","670.50K","-0.11%"
"16/06/2025","87,800","87,800","87,800","86,800","747.70K","-0.23%"
"13/06/2025","88,000","87,500","88,000","86,800","864.60K","-1.01%"
"12/06/2025","88,900","87,700","89,300","87,700","661.00K","1.48%"
"11/06/2025","87,600","88,800","89,000","87,600","684.50K","-1.57%"
