"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/09/2025","17,200.00","16,800.00","17,700.00","16,800.00","35.60K","1.78%"
"25/09/2025","16,900.00","16,900.00","17,000.00","16,700.00","42.10K","0.00%"
"24/09/2025","16,900.00","16,900.00","16,900.00","16,800.00","19.10K","0.60%"
"23/09/2025","16,800.00","16,800.00","17,000.00","16,800.00","23.80K","-0.59%"
"22/09/2025","16,900.00","17,100.00","17,200.00","16,800.00","47.20K","-1.17%"
"19/09/2025","17,100.00","17,200.00","17,300.00","17,000.00","23.00K","-1.16%"
"18/09/2025","17,300.00","17,400.00","17,400.00","17,100.00","32.40K","0.58%"
"17/09/2025","17,200.00","17,300.00","17,700.00","17,200.00","63.60K","0.00%"
"16/09/2025","17,200.00","17,300.00","17,400.00","17,100.00","40.90K","0.00%"
"15/09/2025","17,200.00","17,200.00","17,200.00","17,100.00","41.90K","0.00%"
"12/09/2025","17,200.00","17,000.00","17,200.00","17,000.00","21.10K","1.18%"
"11/09/2025","17,000.00","17,200.00","17,200.00","16,800.00","36.00K","-1.16%"
"10/09/2025","17,200.00","17,000.00","17,200.00","16,800.00","28.50K","1.18%"
"09/09/2025","17,000.00","17,000.00","17,100.00","16,900.00","40.10K","-0.58%"
"08/09/2025","17,100.00","17,300.00","17,500.00","16,900.00","61.50K","-1.16%"
"05/09/2025","17,300.00","17,500.00","17,600.00","17,200.00","29.60K","-2.26%"
"04/09/2025","17,700.00","17,300.00","18,000.00","17,300.00","49.00K","2.91%"
"03/09/2025","17,200.00","17,300.00","17,300.00","17,000.00","29.60K","-1.15%"
"29/08/2025","17,400.00","17,100.00","17,400.00","17,000.00","46.90K","2.35%"
"28/08/2025","17,000.00","17,200.00","17,200.00","17,000.00","33.00K","-1.16%"
"27/08/2025","17,200.00","17,300.00","17,300.00","17,100.00","20.90K","-0.58%"
"26/08/2025","17,300.00","17,400.00","17,400.00","16,900.00","56.40K","0.58%"
"25/08/2025","17,200.00","17,400.00","17,700.00","17,100.00","80.80K","-1.15%"
"22/08/2025","17,400.00","17,300.00","17,400.00","16,900.00","114.20K","0.58%"
"21/08/2025","17,300.00","17,400.00","17,700.00","17,200.00","96.20K","-2.26%"
"20/08/2025","17,700.00","17,700.00","17,700.00","17,200.00","72.60K","0.00%"
"19/08/2025","17,700.00","17,500.00","17,800.00","17,400.00","256.60K","0.57%"
"18/08/2025","17,600.00","17,600.00","17,700.00","17,400.00","78.90K","0.00%"
"15/08/2025","17,600.00","17,900.00","18,000.00","17,500.00","76.60K","-1.12%"
"14/08/2025","17,800.00","17,800.00","17,900.00","17,600.00","100.40K","0.56%"
"13/08/2025","17,700.00","18,100.00","18,100.00","17,500.00","170.20K","-2.75%"
"12/08/2025","18,200.00","18,200.00","18,500.00","18,000.00","69.60K","1.11%"
"11/08/2025","18,000.00","17,900.00","18,300.00","17,500.00","184.50K","2.86%"
"08/08/2025","17,500.00","17,500.00","18,000.00","17,400.00","99.40K","0.00%"
"07/08/2025","17,500.00","18,000.00","18,000.00","17,200.00","103.40K","-2.23%"
"06/08/2025","17,900.00","17,800.00","18,000.00","17,700.00","92.60K","1.13%"
"05/08/2025","17,700.00","17,800.00","18,100.00","17,400.00","256.00K","1.14%"
"04/08/2025","17,500.00","17,200.00","17,600.00","17,200.00","63.00K","1.16%"
"01/08/2025","17,300.00","17,200.00","17,400.00","17,100.00","52.80K","1.17%"
"31/07/2025","17,100.00","17,500.00","17,500.00","16,900.00","143.20K","-2.29%"
"30/07/2025","17,500.00","17,300.00","17,900.00","17,100.00","100.10K","-0.57%"
"29/07/2025","17,600.00","18,600.00","18,600.00","17,200.00","102.70K","-4.86%"
"28/07/2025","18,500.00","18,100.00","18,700.00","17,400.00","256.00K","2.21%"
"25/07/2025","18,100.00","18,300.00","18,800.00","17,900.00","128.20K","-3.21%"
"24/07/2025","18,700.00","19,300.00","19,500.00","18,100.00","108.30K","1.08%"
"23/07/2025","18,500.00","18,025.64","18,879.49","17,930.77","327.00K","2.63%"
"22/07/2025","18,025.64","17,266.67","18,025.64","17,171.79","243.60K","4.40%"
"21/07/2025","17,266.67","16,887.18","17,266.67","16,887.18","142.90K","1.68%"
"18/07/2025","16,982.05","16,887.18","17,076.92","16,697.44","131.30K","1.13%"
"17/07/2025","16,792.31","17,076.92","17,076.92","16,602.56","99.90K","-3.49%"
"16/07/2025","17,400.00","17,200.00","17,800.00","17,200.00","94.00K","0.00%"
"15/07/2025","17,400.00","17,000.00","17,400.00","16,900.00","90.80K","2.35%"
"14/07/2025","17,000.00","16,800.00","17,000.00","16,700.00","72.80K","0.00%"
"11/07/2025","17,000.00","17,100.00","17,400.00","16,800.00","75.80K","-0.58%"
"10/07/2025","17,100.00","17,000.00","17,200.00","16,900.00","73.70K","-0.58%"
"09/07/2025","17,200.00","17,300.00","17,300.00","16,900.00","79.00K","0.00%"
"08/07/2025","17,200.00","17,200.00","17,300.00","17,000.00","82.10K","0.00%"
"07/07/2025","17,200.00","16,800.00","17,200.00","16,800.00","105.00K","1.78%"
"04/07/2025","16,900.00","16,900.00","17,000.00","16,600.00","93.20K","0.60%"
"03/07/2025","16,800.00","17,200.00","17,200.00","16,700.00","48.70K","0.00%"
"02/07/2025","16,800.00","17,100.00","17,100.00","16,700.00","57.10K","-1.18%"
"01/07/2025","17,000.00","18,000.00","18,000.00","16,800.00","79.50K","-1.16%"
"30/06/2025","17,200.00","16,700.00","17,500.00","16,700.00","160.20K","4.24%"
"27/06/2025","16,500.00","16,700.00","16,700.00","16,400.00","10.20K","0.00%"
"26/06/2025","16,500.00","16,600.00","16,600.00","16,400.00","22.10K","-0.60%"
"25/06/2025","16,600.00","16,600.00","16,700.00","16,500.00","27.10K","-0.60%"
"24/06/2025","16,700.00","16,600.00","16,900.00","16,500.00","26.90K","0.00%"
"23/06/2025","16,700.00","16,800.00","16,800.00","16,500.00","24.70K","-0.60%"
"20/06/2025","16,800.00","16,500.00","16,800.00","16,500.00","52.00K","0.00%"
"19/06/2025","16,800.00","16,700.00","16,800.00","16,700.00","17.90K","0.00%"
